1. [211] gl | Priorita' Thread: 10/10 | Metri Percorsi: 1002.929
369. [267] ip | Priorita' Thread: 4/10 | Metri Percorsi: 1012.479
370. [278] ja | Priorita' Thread: 5/10 | Metri Percorsi: 1005.071
371. [306] kc | Priorita' Thread: 5/10 | Metri Percorsi: 1009.946
372. [368] mm | Priorita' Thread: 4/10 | Metri Percorsi: 1002.015
373. [373] mr | Priorita' Thread: 5/10 | Metri Percorsi: 1000.513
374. [590] va | Priorita' Thread: 5/10 | Metri Percorsi: 1016.214
375. [59] bb | Priorita' Thread: 6/10 | Metri Percorsi: 1002.502
376. [259] ih | Priorita' Thread: 5/10 | Metri Percorsi: 1010.710
377. [526] so | Priorita' Thread: 4/10 | Metri Percorsi: 1009.166
378. [712] zs | Priorita' Thread: 4/10 | Metri Percorsi: 1003.415
379. [196] fw | Priorita' Thread: 4/10 | Metri Percorsi: 1004.215
380. [224] gy | Priorita' Thread: 3/10 | Metri Percorsi: 1006.719
381. [346] lq | Priorita' Thread: 4/10 | Metri Percorsi: 1002.219
382. [387] nf | Priorita' Thread: 4/10 | Metri Percorsi: 1000.864
383. [416] oi | Priorita' Thread: 5/10 | Metri Percorsi: 1000.888
384. [649] xh | Priorita' Thread: 5/10 | Metri Percorsi: 1012.457
385. [465] qf | Priorita' Thread: 4/10 | Metri Percorsi: 1006.890
386. [513] sb | Priorita' Thread: 4/10 | Metri Percorsi: 1000.060
387. [159] el | Priorita' Thread: 6/10 | Metri Percorsi: 1012.187
388. [699] zf | Priorita' Thread: 5/10 | Metri Percorsi: 1017.384
389. [182] fi | Priorita' Thread: 4/10 | Metri Percorsi: 1006.764
390. [313] kj | Priorita' Thread: 4/10 | Metri Percorsi: 1011.100
391. [326] kw | Priorita' Thread: 4/10 | Metri Percorsi: 1006.756
392. [548] tk | Priorita' Thread: 4/10 | Metri Percorsi: 1010.769
393. [706] zm | Priorita' Thread: 4/10 | Metri Percorsi: 1009.648
394. [240] ho | Priorita' Thread: 4/10 | Metri Percorsi: 1000.715
395. [246] hu | Priorita' Thread: 4/10 | Metri Percorsi: 1008.611
396. [539] tb | Priorita' Thread: 3/10 | Metri Percorsi: 1007.675
397. [653] xl | Priorita' Thread: 4/10 | Metri Percorsi: 1005.377
398. [131] dj | Priorita' Thread: 4/10 | Metri Percorsi: 1004.308
399. [132] dk | Priorita' Thread: 4/10 | Metri Percorsi: 1006.920
400. [316] km | Priorita' Thread: 4/10 | Metri Percorsi: 1001.443
401. [446] pm | Priorita' Thread: 5/10 | Metri Percorsi: 1006.895
402. [443] pj | Priorita' Thread: 3/10 | Metri Percorsi: 1001.933
403. [463] qd | Priorita' Thread: 3/10 | Metri Percorsi: 1002.064
404. [37] af | Priorita' Thread: 3/10 | Metri Percorsi: 1007.608
405. [283] jf | Priorita' Thread: 4/10 | Metri Percorsi: 1000.248
406. [425] or | Priorita' Thread: 4/10 | Metri Percorsi: 1013.126
407. [520] si | Priorita' Thread: 3/10 | Metri Percorsi: 1002.049
408. [541] td | Priorita' Thread: 5/10 | Metri Percorsi: 1004.365
409. [158] ek | Priorita' Thread: 4/10 | Metri Percorsi: 1003.056
410. [479] qt | Priorita' Thread: 4/10 | Metri Percorsi: 1016.810
411. [494] ri | Priorita' Thread: 5/10 | Metri Percorsi: 1014.379
412. [508] rw | Priorita' Thread: 3/10 | Metri Percorsi: 1006.607
413. [511] rz | Priorita' Thread: 3/10 | Metri Percorsi: 1001.416
414. [662] xu | Priorita' Thread: 4/10 | Metri Percorsi: 1002.853
415. [700] zg | Priorita' Thread: 6/10 | Metri Percorsi: 1003.353
416. [117] cv | Priorita' Thread: 4/10 | Metri Percorsi: 1002.604
417. [165] er | Priorita' Thread: 3/10 | Metri Percorsi: 1006.255
418. [189] fp | Priorita' Thread: 4/10 | Metri Percorsi: 1003.904
419. [198] fy | Priorita' Thread: 3/10 | Metri Percorsi: 1004.682
420. [367] ml | Priorita' Thread: 3/10 | Metri Percorsi: 1014.008
421. [45] an | Priorita' Thread: 4/10 | Metri Percorsi: 1010.264
422. [381] mz | Priorita' Thread: 3/10 | Metri Percorsi: 1008.049
423. [428] ou | Priorita' Thread: 3/10 | Metri Percorsi: 1005.679
424. [73] bp | Priorita' Thread: 3/10 | Metri Percorsi: 1002.245
425. [514] sc | Priorita' Thread: 4/10 | Metri Percorsi: 1010.907
426. [547] tj | Priorita' Thread: 3/10 | Metri Percorsi: 1000.907
427. [549] tl | Priorita' Thread: 3/10 | Metri Percorsi: 1011.482
428. [566] uc | Priorita' Thread: 3/10 | Metri Percorsi: 1008.622
429. [650] xi | Priorita' Thread: 3/10 | Metri Percorsi: 1004.411
430. [713] zt | Priorita' Thread: 3/10 | Metri Percorsi: 1012.114
431. [180] fg | Priorita' Thread: 3/10 | Metri Percorsi: 1000.995
432. [254] ic | Priorita' Thread: 3/10 | Metri Percorsi: 1002.798
433. [576] um | Priorita' Thread: 4/10 | Metri Percorsi: 1005.127
434. [586] uw | Priorita' Thread: 3/10 | Metri Percorsi: 1003.800
435. [614] vy | Priorita' Thread: 5/10 | Metri Percorsi: 1004.181
436. [167] et | Priorita' Thread: 3/10 | Metri Percorsi: 1009.719
437. [253] ib | Priorita' Thread: 3/10 | Metri Percorsi: 1011.891
438. [311] kh | Priorita' Thread: 4/10 | Metri Percorsi: 1016.681
439. [378] mw | Priorita' Thread: 5/10 | Metri Percorsi: 1007.191
440. [481] qv | Priorita' Thread: 4/10 | Metri Percorsi: 1004.842
441. [684] yq | Priorita' Thread: 4/10 | Metri Percorsi: 1014.218
442. [48] aq | Priorita' Thread: 2/10 | Metri Percorsi: 1006.517
443. [111] cp | Priorita' Thread: 3/10 | Metri Percorsi: 1003.101
444. [380] my | Priorita' Thread: 3/10 | Metri Percorsi: 1005.704
445. [382] na | Priorita' Thread: 3/10 | Metri Percorsi: 1001.242
446. [493] rh | Priorita' Thread: 4/10 | Metri Percorsi: 1005.190
447. [633] wr | Priorita' Thread: 4/10 | Metri Percorsi: 1000.108
448. [199] fz | Priorita' Thread: 3/10 | Metri Percorsi: 1003.613
449. [258] ig | Priorita' Thread: 3/10 | Metri Percorsi: 1006.081
450. [362] mg | Priorita' Thread: 2/10 | Metri Percorsi: 1001.881
451. [424] oq | Priorita' Thread: 3/10 | Metri Percorsi: 1005.052
452. [472] qm | Priorita' Thread: 3/10 | Metri Percorsi: 1005.047
453. [695] zb | Priorita' Thread: 3/10 | Metri Percorsi: 1000.719
454. [217] gr | Priorita' Thread: 3/10 | Metri Percorsi: 1003.626
455. [393] nl | Priorita' Thread: 4/10 | Metri Percorsi: 1010.274
456. [412] oe | Priorita' Thread: 3/10 | Metri Percorsi: 1000.621
457. [560] tw | Priorita' Thread: 3/10 | Metri Percorsi: 1005.039
458. [591] vb | Priorita' Thread: 4/10 | Metri Percorsi: 1002.068
459. [686] ys | Priorita' Thread: 3/10 | Metri Percorsi: 1004.331
460. [137] dp | Priorita' Thread: 3/10 | Metri Percorsi: 1000.964
461. [265] in | Priorita' Thread: 3/10 | Metri Percorsi: 1001.966
462. [403] nv | Priorita' Thread: 2/10 | Metri Percorsi: 1001.740
463. [436] pc | Priorita' Thread: 3/10 | Metri Percorsi: 1001.945
464. [450] pq | Priorita' Thread: 3/10 | Metri Percorsi: 1012.909
465. [524] sm | Priorita' Thread: 3/10 | Metri Percorsi: 1008.109
466. [39] ah | Priorita' Thread: 3/10 | Metri Percorsi: 1005.761
467. [517] sf | Priorita' Thread: 2/10 | Metri Percorsi: 1005.402
468. [552] to | Priorita' Thread: 3/10 | Metri Percorsi: 1003.004
469. [625] wj | Priorita' Thread: 3/10 | Metri Percorsi: 1006.933
470. [641] wz | Priorita' Thread: 3/10 | Metri Percorsi: 1010.020
471. [175] fb | Priorita' Thread: 3/10 | Metri Percorsi: 1014.877
472. [487] rb | Priorita' Thread: 3/10 | Metri Percorsi: 1001.836
473. [612] vw | Priorita' Thread: 3/10 | Metri Percorsi: 1005.450
474. [616] wa | Priorita' Thread: 2/10 | Metri Percorsi: 1008.841
475. [56] ay | Priorita' Thread: 4/10 | Metri Percorsi: 1006.242
476. [100] ce | Priorita' Thread: 3/10 | Metri Percorsi: 1001.070
477. [128] dg | Priorita' Thread: 4/10 | Metri Percorsi: 1000.025
478. [538] ta | Priorita' Thread: 2/10 | Metri Percorsi: 1002.282
479. [658] xq | Priorita' Thread: 3/10 | Metri Percorsi: 1002.842
480. [718] zy | Priorita' Thread: 3/10 | Metri Percorsi: 1001.404
481. [113] cr | Priorita' Thread: 2/10 | Metri Percorsi: 1009.967
482. [120] cy | Priorita' Thread: 3/10 | Metri Percorsi: 1002.105
483. [149] eb | Priorita' Thread: 3/10 | Metri Percorsi: 1005.278
484. [187] fn | Priorita' Thread: 3/10 | Metri Percorsi: 1002.452
485. [308] ke | Priorita' Thread: 3/10 | Metri Percorsi: 1001.411
486. [527] sp | Priorita' Thread: 4/10 | Metri Percorsi: 1004.980
487. [597] vh | Priorita' Thread: 4/10 | Metri Percorsi: 1013.764
488. [665] xx | Priorita' Thread: 3/10 | Metri Percorsi: 1007.988
489. [297] jt | Priorita' Thread: 3/10 | Metri Percorsi: 1015.053
490. [438] pe | Priorita' Thread: 3/10 | Metri Percorsi: 1000.563
491. [272] iu | Priorita' Thread: 4/10 | Metri Percorsi: 1001.701
492. [303] jz | Priorita' Thread: 2/10 | Metri Percorsi: 1001.032
493. [361] mf | Priorita' Thread: 2/10 | Metri Percorsi: 1000.057
494. [488] rc | Priorita' Thread: 2/10 | Metri Percorsi: 1010.445
495. [703] zj | Priorita' Thread: 3/10 | Metri Percorsi: 1002.633
496. [170] ew | Priorita' Thread: 3/10 | Metri Percorsi: 1000.519
497. [298] ju | Priorita' Thread: 3/10 | Metri Percorsi: 1002.061
498. [551] tn | Priorita' Thread: 3/10 | Metri Percorsi: 1000.512
499. [569] uf | Priorita' Thread: 2/10 | Metri Percorsi: 1005.215
500. [229] hd | Priorita' Thread: 2/10 | Metri Percorsi: 1001.655
501. [602] vm | Priorita' Thread: 2/10 | Metri Percorsi: 1005.077
502. [225] gz | Priorita' Thread: 2/10 | Metri Percorsi: 1007.136
503. [697] zd | Priorita' Thread: 2/10 | Metri Percorsi: 1008.482
504. [554] tq | Priorita' Thread: 3/10 | Metri Percorsi: 1006.934
505. [636] wu | Priorita' Thread: 2/10 | Metri Percorsi: 1002.776
506. [437] pd | Priorita' Thread: 3/10 | Metri Percorsi: 1004.582
507. [495] rj | Priorita' Thread: 2/10 | Metri Percorsi: 1007.077
508. [32] aa | Priorita' Thread: 2/10 | Metri Percorsi: 1005.145
509. [49] ar | Priorita' Thread: 2/10 | Metri Percorsi: 1005.323
510. [70] bm | Priorita' Thread: 3/10 | Metri Percorsi: 1005.804
511. [252] ia | Priorita' Thread: 2/10 | Metri Percorsi: 1001.100
512. [327] kx | Priorita' Thread: 2/10 | Metri Percorsi: 1004.293
513. [46] ao | Priorita' Thread: 2/10 | Metri Percorsi: 1004.650
514. [99] cd | Priorita' Thread: 3/10 | Metri Percorsi: 1009.343
515. [110] co | Priorita' Thread: 2/10 | Metri Percorsi: 1007.050
516. [693] yz | Priorita' Thread: 2/10 | Metri Percorsi: 1001.351
517. [57] az | Priorita' Thread: 2/10 | Metri Percorsi: 1007.805
518. [61] bd | Priorita' Thread: 2/10 | Metri Percorsi: 1007.241
519. [286] ji | Priorita' Thread: 2/10 | Metri Percorsi: 1009.207
520. [341] ll | Priorita' Thread: 2/10 | Metri Percorsi: 1004.133
521. [577] un | Priorita' Thread: 3/10 | Metri Percorsi: 1012.127
522. [711] zr | Priorita' Thread: 3/10 | Metri Percorsi: 1014.449
523. [515] sd | Priorita' Thread: 2/10 | Metri Percorsi: 1006.096
524. [581] ur | Priorita' Thread: 3/10 | Metri Percorsi: 1005.701
525. [659] xr | Priorita' Thread: 2/10 | Metri Percorsi: 1008.325
526. [719] zz | Priorita' Thread: 2/10 | Metri Percorsi: 1004.352
527. [50] as | Priorita' Thread: 2/10 | Metri Percorsi: 1002.776
528. [204] ge | Priorita' Thread: 3/10 | Metri Percorsi: 1003.142
529. [340] lk | Priorita' Thread: 3/10 | Metri Percorsi: 1006.349
530. [432] oy | Priorita' Thread: 2/10 | Metri Percorsi: 1008.702
531. [575] ul | Priorita' Thread: 2/10 | Metri Percorsi: 1009.368
532. [644] xc | Priorita' Thread: 3/10 | Metri Percorsi: 1000.036
533. [95] bz | Priorita' Thread: 2/10 | Metri Percorsi: 1006.909
534. [129] dh | Priorita' Thread: 2/10 | Metri Percorsi: 1008.551
535. [139] dr | Priorita' Thread: 2/10 | Metri Percorsi: 1005.887
536. [351] lv | Priorita' Thread: 3/10 | Metri Percorsi: 1005.633
537. [312] ki | Priorita' Thread: 2/10 | Metri Percorsi: 1010.422
538. [355] lz | Priorita' Thread: 2/10 | Metri Percorsi: 1001.467
539. [476] qq | Priorita' Thread: 3/10 | Metri Percorsi: 1021.774
540. [287] jj | Priorita' Thread: 2/10 | Metri Percorsi: 1000.464
541. [330] la | Priorita' Thread: 2/10 | Metri Percorsi: 1005.320
542. [400] ns | Priorita' Thread: 1/10 | Metri Percorsi: 1008.612
543. [58] ba | Priorita' Thread: 2/10 | Metri Percorsi: 1011.532
544. [429] ov | Priorita' Thread: 2/10 | Metri Percorsi: 1000.007
545. [500] ro | Priorita' Thread: 2/10 | Metri Percorsi: 1000.010
546. [639] wx | Priorita' Thread: 2/10 | Metri Percorsi: 1000.224
547. [40] ai | Priorita' Thread: 2/10 | Metri Percorsi: 1004.000
548. [645] xd | Priorita' Thread: 2/10 | Metri Percorsi: 1003.324
549. [218] gs | Priorita' Thread: 3/10 | Metri Percorsi: 1002.895
550. [613] vx | Priorita' Thread: 2/10 | Metri Percorsi: 1000.331
551. [173] ez | Priorita' Thread: 1/10 | Metri Percorsi: 1002.030
552. [354] ly | Priorita' Thread: 1/10 | Metri Percorsi: 1005.639
553. [587] ux | Priorita' Thread: 1/10 | Metri Percorsi: 1003.508
554. [291] jn | Priorita' Thread: 1/10 | Metri Percorsi: 1000.370
555. [369] mn | Priorita' Thread: 1/10 | Metri Percorsi: 1010.803
556. [624] wi | Priorita' Thread: 2/10 | Metri Percorsi: 1001.513
557. [634] ws | Priorita' Thread: 2/10 | Metri Percorsi: 1006.832
558. [358] mc | Priorita' Thread: 2/10 | Metri Percorsi: 1002.417
559. [108] cm | Priorita' Thread: 1/10 | Metri Percorsi: 1006.683
560. [529] sr | Priorita' Thread: 2/10 | Metri Percorsi: 1001.071
561. [623] wh | Priorita' Thread: 2/10 | Metri Percorsi: 1000.124
562. [661] xt | Priorita' Thread: 2/10 | Metri Percorsi: 1001.617
563. [672] ye | Priorita' Thread: 2/10 | Metri Percorsi: 1001.543
564. [691] yx | Priorita' Thread: 3/10 | Metri Percorsi: 1004.162
565. [140] ds | Priorita' Thread: 2/10 | Metri Percorsi: 1000.741
566. [171] ex | Priorita' Thread: 1/10 | Metri Percorsi: 1005.286
567. [208] gi | Priorita' Thread: 1/10 | Metri Percorsi: 1003.923
568. [270] is | Priorita' Thread: 2/10 | Metri Percorsi: 1003.118
569. [536] sy | Priorita' Thread: 1/10 | Metri Percorsi: 1002.773
570. [545] th | Priorita' Thread: 1/10 | Metri Percorsi: 1002.249
571. [573] uj | Priorita' Thread: 2/10 | Metri Percorsi: 1002.174
572. [105] cj | Priorita' Thread: 1/10 | Metri Percorsi: 1006.721
573. [203] gd | Priorita' Thread: 1/10 | Metri Percorsi: 1004.585
574. [234] hi | Priorita' Thread: 1/10 | Metri Percorsi: 1000.699
575. [392] nk | Priorita' Thread: 2/10 | Metri Percorsi: 1008.775
576. [377] mv | Priorita' Thread: 1/10 | Metri Percorsi: 1007.389
577. [546] ti | Priorita' Thread: 1/10 | Metri Percorsi: 1005.873
578. [125] dd | Priorita' Thread: 1/10 | Metri Percorsi: 1002.134
579. [716] zw | Priorita' Thread: 1/10 | Metri Percorsi: 1003.225
580. [627] wl | Priorita' Thread: 2/10 | Metri Percorsi: 1002.307
581. [314] kk | Priorita' Thread: 1/10 | Metri Percorsi: 1009.994
582. [415] oh | Priorita' Thread: 1/10 | Metri Percorsi: 1009.236
583. [499] rn | Priorita' Thread: 1/10 | Metri Percorsi: 1008.643
584. [651] xj | Priorita' Thread: 1/10 | Metri Percorsi: 1002.784
585. [427] ot | Priorita' Thread: 1/10 | Metri Percorsi: 1002.025
586. [578] uo | Priorita' Thread: 1/10 | Metri Percorsi: 1006.808
587. [206] gg | Priorita' Thread: 1/10 | Metri Percorsi: 1004.301
588. [704] zk | Priorita' Thread: 1/10 | Metri Percorsi: 1002.166
589. [243] hr | Priorita' Thread: 1/10 | Metri Percorsi: 1001.727
590. [670] yc | Priorita' Thread: 1/10 | Metri Percorsi: 1003.878
591. [134] dm | Priorita' Thread: 1/10 | Metri Percorsi: 1009.700
592. [456] pw | Priorita' Thread: 1/10 | Metri Percorsi: 1010.845
593. [68] bk | Priorita' Thread: 1/10 | Metri Percorsi: 1003.807
594. [449] pp | Priorita' Thread: 1/10 | Metri Percorsi: 1002.408
595. [584] uu | Priorita' Thread: 1/10 | Metri Percorsi: 1005.759
596. [54] aw | Priorita' Thread: 1/10 | Metri Percorsi: 1001.343
597. [363] mh | Priorita' Thread: 1/10 | Metri Percorsi: 1004.283
598. [509] rx | Priorita' Thread: 1/10 | Metri Percorsi: 1006.114
599. [155] eh | Priorita' Thread: 1/10 | Metri Percorsi: 1003.036
600. [256] ie | Priorita' Thread: 1/10 | Metri Percorsi: 1001.723
601. [334] le | Priorita' Thread: 1/10 | Metri Percorsi: 1002.969
602. [41] aj | Priorita' Thread: 1/10 | Metri Percorsi: 1002.881
603. [197] fx | Priorita' Thread: 1/10 | Metri Percorsi: 1005.922
604. [244] hs | Priorita' Thread: 1/10 | Metri Percorsi: 1001.315
605. [135] dn | Priorita' Thread: 1/10 | Metri Percorsi: 1010.094
606. [276] iy | Priorita' Thread: 1/10 | Metri Percorsi: 1000.114
607. [631] wp | Priorita' Thread: 1/10 | Metri Percorsi: 1000.656
608. [230] he | Priorita' Thread: 1/10 | Metri Percorsi: 1004.858
609. [273] iv | Priorita' Thread: 1/10 | Metri Percorsi: 1006.241
610. [210] gk | Priorita' Thread: 1/10 | Metri Percorsi: 1004.358
611. [322] ks | Priorita' Thread: 1/10 | Metri Percorsi: 1003.542
612. [477] qr | Priorita' Thread: 1/10 | Metri Percorsi: 1010.192
613. [637] wv | Priorita' Thread: 1/10 | Metri Percorsi: 1002.545
614. [97] cb | Priorita' Thread: 1/10 | Metri Percorsi: 1002.734
615. [74] bq | Priorita' Thread: 1/10 | Metri Percorsi: 1004.277
616. [484] qy | Priorita' Thread: 1/10 | Metri Percorsi: 1006.627
617. [397] np | Priorita' Thread: 1/10 | Metri Percorsi: 1000.757
618. [119] cx | Priorita' Thread: 1/10 | Metri Percorsi: 1010.611
619. [309] kf | Priorita' Thread: 1/10 | Metri Percorsi: 1000.535
620. [615] vz | Priorita' Thread: 1/10 | Metri Percorsi: 1009.608
621. [642] xa | Priorita' Thread: 3/10 | Metri Percorsi: 999.557
622. [101] cf | Priorita' Thread: 3/10 | Metri Percorsi: 993.712
623. [183] fj | Priorita' Thread: 10/10 | Metri Percorsi: 955.651
624. [238] hm | Priorita' Thread: 3/10 | Metri Percorsi: 916.445
625. [701] zh | Priorita' Thread: 7/10 | Metri Percorsi: 883.361
626. [280] jc | Priorita' Thread: 3/10 | Metri Percorsi: 880.393
627. [51] at | Priorita' Thread: 7/10 | Metri Percorsi: 853.256
628. [440] pg | Priorita' Thread: 2/10 | Metri Percorsi: 820.782
629. [707] zn | Priorita' Thread: 1/10 | Metri Percorsi: 807.010
630. [77] bt | Priorita' Thread: 2/10 | Metri Percorsi: 770.799
631. [603] vn | Priorita' Thread: 2/10 | Metri Percorsi: 763.574
632. [714] zu | Priorita' Thread: 7/10 | Metri Percorsi: 755.627
633. [190] fq | Priorita' Thread: 5/10 | Metri Percorsi: 746.665
634. [177] fd | Priorita' Thread: 5/10 | Metri Percorsi: 725.855
635. [475] qp | Priorita' Thread: 8/10 | Metri Percorsi: 723.265
636. [404] nw | Priorita' Thread: 10/10 | Metri Percorsi: 713.708
637. [78] bu | Priorita' Thread: 3/10 | Metri Percorsi: 711.395
638. [504] rs | Priorita' Thread: 4/10 | Metri Percorsi: 667.869
639. [448] po | Priorita' Thread: 4/10 | Metri Percorsi: 611.773
640. [248] hw | Priorita' Thread: 3/10 | Metri Percorsi: 594.050
641. [518] sg | Priorita' Thread: 8/10 | Metri Percorsi: 589.577
642. [299] jv | Priorita' Thread: 9/10 | Metri Percorsi: 583.461
643. [262] ik | Priorita' Thread: 8/10 | Metri Percorsi: 570.027
644. [288] jk | Priorita' Thread: 1/10 | Metri Percorsi: 566.155
645. [498] rm | Priorita' Thread: 1/10 | Metri Percorsi: 522.364
646. [43] al | Priorita' Thread: 10/10 | Metri Percorsi: 519.451
647. [666] xy | Priorita' Thread: 6/10 | Metri Percorsi: 515.626
648. [269] ir | Priorita' Thread: 7/10 | Metri Percorsi: 477.749
649. [667] xz | Priorita' Thread: 1/10 | Metri Percorsi: 473.446
650. [304] ka | Priorita' Thread: 8/10 | Metri Percorsi: 458.186
651. [133] dl | Priorita' Thread: 2/10 | Metri Percorsi: 457.923
652. [717] zx | Priorita' Thread: 3/10 | Metri Percorsi: 409.643
653. [466] qg | Priorita' Thread: 5/10 | Metri Percorsi: 399.687
654. [290] jm | Priorita' Thread: 2/10 | Metri Percorsi: 398.162
655. [281] jd | Priorita' Thread: 5/10 | Metri Percorsi: 369.606
656. [64] bg | Priorita' Thread: 7/10 | Metri Percorsi: 358.544
657. [242] hq | Priorita' Thread: 10/10 | Metri Percorsi: 329.008
658. [471] ql | Priorita' Thread: 1/10 | Metri Percorsi: 292.798
659. [282] je | Priorita' Thread: 1/10 | Metri Percorsi: 264.835
660. [385] nd | Priorita' Thread: 9/10 | Metri Percorsi: 257.102
661. [141] dt | Priorita' Thread: 3/10 | Metri Percorsi: 215.783
662. [52] au | Priorita' Thread: 5/10 | Metri Percorsi: 207.692
663. [329] kz | Priorita' Thread: 2/10 | Metri Percorsi: 199.045
664. [660] xs | Priorita' Thread: 2/10 | Metri Percorsi: 185.578
665. [221] gv | Priorita' Thread: 2/10 | Metri Percorsi: 180.535
666. [109] cn | Priorita' Thread: 8/10 | Metri Percorsi: 176.726
667. [630] wo | Priorita' Thread: 3/10 | Metri Percorsi: 168.752
668. [470] qk | Priorita' Thread: 2/10 | Metri Percorsi: 166.453
669. [648] xg | Priorita' Thread: 5/10 | Metri Percorsi: 127.149
670. [257] if | Priorita' Thread: 4/10 | Metri Percorsi: 103.668
671. [561] tx | Priorita' Thread: 4/10 | Metri Percorsi: 95.963
672. [285] jh | Priorita' Thread: 4/10 | Metri Percorsi: 73.526
673. [402] nu | Priorita' Thread: 4/10 | Metri Percorsi: 56.986
674. [142] du | Priorita' Thread: 2/10 | Metri Percorsi: 38.896
675. [255] id | Priorita' Thread: 2/10 | Metri Percorsi: 31.321
676. [69] bl | Priorita' Thread: 4/10 | Metri Percorsi: 23.890
